run_id,topic,started_at,finished_at,status,keywords,pages,unique_products,total_sales,median_sales,avg_price
20260812T162636,Perfex CRM,2026-08-12T11:26:36+00:00,2026-08-12T11:34:51+00:00,completed,3,9,186,25640,33.0,57.6
20260812T170553,Perfex CRM,2026-08-12T12:05:53+00:00,2026-08-12T12:17:01+00:00,completed,8,27,400,55935,39.5,53.0
20260812T182252,Perfex CRM,2026-08-12T13:22:52+00:00,2026-08-12T13:23:07+00:00,aborted,0,2,60,4126,27.0,51.4
20260813T155421,Perfex CRM testing,2026-08-13T10:54:21+00:00,2026-08-13T11:01:20+00:00,completed,4,22,405,81526,40,52.9
