product_id,title,author_name,price,sales,rating,review_count,category,subcategory,software_version,framework,compatible_with,file_types,last_updated,url,first_seen_run,last_seen_run
25278359,REST API module for Perfex CRM - Connect Apps and Automate Workflows with third party applications,themesic,79.0,3000,4.91,45,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"HTML, PHP, SQL",2026-08-06,https://codecanyon.net/item/rest-api-for-perfex-crm/25278359,20260812T162636,20260812T170553
27465701,Inventory Management module for Perfex CRM,GreenTech_Solutions,99.0,1900,4.89,100,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-22,https://codecanyon.net/item/inventory-management-for-perfex-crm/27465701,20260812T170553,20260812T170553
23555097,Perfex CRM Chat,i-Dev,69.0,1800,4.64,77,php-scripts,add-ons,"PHP 8.x, MySQL 8.x",CodeIgniter,,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-06-20,https://codecanyon.net/item/perfex-crm-employee-chat/23555097,20260812T170553,20260812T170553
25308081,Mailbox - Webmail Client & Email Automation Module for Perfex CRM,themesic,59.0,1800,4.78,41,php-scripts,add-ons,PHP 7.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-08-06,https://codecanyon.net/item/mailbox-webmail-client-for-perfex-crm/25308081,20260812T162636,20260812T170553
27462292,Purchase Management module for Perfex CRM,GreenTech_Solutions,99.0,1700,4.91,109,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-22,https://codecanyon.net/item/purchase-management-for-perfex-crm/27462292,20260812T162636,20260812T170553
31540126,Accounting and Bookkeeping module for Perfex CRM,GreenTech_Solutions,109.0,1600,4.73,93,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-22,https://codecanyon.net/item/accounting-and-bookkeeping-for-perfex-crm/31540126,20260812T170553,20260812T170553
25459077,Appointly - Perfex CRM Appointments,i-Dev,69.0,1500,4.31,71,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-06-21,https://codecanyon.net/item/appointly-perfex-crm-appointments/25459077,20260812T162636,20260812T170553
28622550,Timesheets and Leave Management module for Perfex CRM,GreenTech_Solutions,99.0,1200,4.8,56,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-08-01,https://codecanyon.net/item/timesheets-and-leave-management-for-perfex-crm/28622550,20260812T162636,20260812T170553
46070331,Perfex CRM SaaS Module - Transform Your Perfex CRM into a Powerful Multi-Tenancy Solution,ulutfa,99.0,1100,4.98,273,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-03-29,https://codecanyon.net/item/perfex-crm-saas-module-transform-your-perfex-crm-into-a-powerful-multitenancy-solution/46070331,20260812T170553,20260812T170553
29799509,Perfex CRM Chat & Tickets App for Support Board,Schiocco,9.0,978,4.76,21,php-scripts,help-and-support-tools,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP",2025-12-09,https://codecanyon.net/item/perfex-crm-chat-tickets-app-for-support-board/29799509,20260812T162636,20260812T170553
31317939,HR Records module for Perfex CRM,GreenTech_Solutions,99.0,946,4.95,40,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-08-01,https://codecanyon.net/item/hr-records-for-perfex-crm/31317939,20260812T170553,20260812T170553
31830634,HR Payroll module for Perfex CRM,GreenTech_Solutions,99.0,786,4.8,40,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-22,https://codecanyon.net/item/hr-payroll-for-perfex-crm/31830634,20260812T170553,20260812T170553
27260667,Recruitment Management module for Perfex CRM,GreenTech_Solutions,89.0,697,4.78,41,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-08-01,https://codecanyon.net/item/recruitment-management-for-perfex-crm/27260667,20260812T162636,20260812T170553
