keyword,parent_topic,source,approved,priority,total_results,unique_products,pages_crawled,zero_result
perfex integration,Perfex CRM,cli,yes,,150,148,5,no
perfex automation,Perfex CRM,cli,yes,,76,76,3,no
perfex mcp,Perfex CRM,cli,yes,,2,2,1,no
