product_id,title,author_name,price,sales,rating,review_count,category,subcategory,software_version,framework,compatible_with,file_types,last_updated,url,first_seen_run,last_seen_run
28895343,"XERO module for Perfex CRM - Synchronize Invoices, Payments",by8e,45.0,57,4.0,4,php-scripts,add-ons,"PHP 8.x, MySQL 8.x",CodeIgniter,,"JavaScript JS, HTML, XML, CSS",2024-12-05,https://codecanyon.net/item/xero-module-for-perfex-crm-synchronize-invoices-payments/28895343,20260812T162636,20260812T162636
51098916,Purchase Order Module for Perfex CRM,ulutfa,49.0,55,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-03-11,https://codecanyon.net/item/purchase-order-module-for-perfex-crm/51098916,20260812T162636,20260812T162636
58558714,SaaS module for Concord - Transform your CRM into a Powerful Multi-Tenancy Solution,themesic,89.0,55,5.0,3,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x, Other",Laravel,,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-07-09,https://codecanyon.net/item/saas-module-for-concord-transform-your-crm-into-a-powerful-multitenancy-solution/58558714,20260812T162636,20260812T162636
58896062,Login as Staff or Customers – Impersonation Module for Perfex CRM,codeonstring,29.0,55,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP",2025-12-03,https://codecanyon.net/item/login-as-staff-or-customers-impersonation-module-for-perfex-crm/58896062,20260812T162636,20260812T162636
28902724,Xero® Online Module for Perfex CRM - Spend less time on the books,Swivernet,45.0,54,2.5,8,php-scripts,add-ons,PHP 7.x,CodeIgniter,,"JavaScript JS, HTML, CSS",2021-09-09,https://codecanyon.net/item/xero-online-module-for-perfex-crm-spend-less-time-on-the-books/28902724,20260812T162636,20260812T162636
62402925,PulseChat - OmniChannel AI Customer Service module for Perfex CRM,themesic,59.0,52,4.2,5,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x, Other",CodeIgniter,,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-08-06,https://codecanyon.net/item/pulsechat-perfex-omnichannel-ai-customer-service/62402925,20260812T162636,20260812T162636
57110534,Domain Manager for Perfex CRM – Manage and Track Your Domains Efficiently,Hopperstack,59.0,51,5.0,3,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, PHP",2025-08-08,https://codecanyon.net/item/domain-manager-for-perfex-crm-manage-and-track-your-domains-efficiently/57110534,20260812T162636,20260812T162636
58656663,FexCall – Smart AI Call Assistant & Lead Automation Module for Perfex CRM,designingmedia,99.0,51,5.0,6,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-03-13,https://codecanyon.net/item/fexcall-smart-ai-call-assistant-lead-automation-module-for-perfex-crm/58656663,20260812T162636,20260812T162636
32425043,Mautic - Automated Marketing Tool For Perfex CRM,by8e,65.0,47,,,php-scripts,add-ons,PHP 5.6 - 7.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP",2021-09-17,https://codecanyon.net/item/mautic-automated-marketing-tool-for-perfex-crm/32425043,20260812T162636,20260812T162636
58758720,Perfex GO - Native Mobile App Integration for Perfex CRM,designingmedia,149.0,47,4.8,5,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-04-04,https://codecanyon.net/item/perfexgo-native-mobile-app-integration-for-perfex-crm/58758720,20260812T162636,20260812T162636
54022516,SMS Management Module for Perfex CRM,halilaltndg,34.0,45,5.0,5,php-scripts,add-ons,"PHP 8.x, MySQL 5.x - 8.x",CodeIgniter,,"JavaScript JS, HTML, PHP",2025-07-24,https://codecanyon.net/item/sms-management-module-for-perfex-crm/54022516,20260812T162636,20260812T162636
30494100,Perfex integration with LexOffice,by8e,35.0,44,2.0,4,php-scripts,add-ons,PHP 7.x,CodeIgniter,,PHP,2025-01-09,https://codecanyon.net/item/perfex-integration-with-lexoffice/30494100,20260812T162636,20260812T162636
42314050,MailChimp Module for Perfex CRM,zonvoir,30.0,44,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP",2023-01-18,https://codecanyon.net/item/mailchimp-module-for-perfex-crm/42314050,20260812T162636,20260812T162636
24076921,Paystack Payment Gateway for Perfex CRM,Techy4m,39.0,43,5.0,3,php-scripts,add-ons,PHP 8.x,CodeIgniter,,"JavaScript JSON, HTML, PHP",2026-04-13,https://codecanyon.net/item/paystack-payment-gateway-for-perfex-crm/24076921,20260812T162636,20260812T162636
56043834,Quickbooks Integration module for Perfex CRM,GreenTech_Solutions,79.0,43,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-28,https://codecanyon.net/item/quickbooks-integration-module-for-perfex-crm/56043834,20260812T162636,20260812T162636
56227226,Advanced Automation Manager for Perfex CRM,UnlimitechDev,29.0,42,,,php-scripts,add-ons,PHP 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP",2025-03-14,https://codecanyon.net/item/advanced-automation-manager-for-perfex-crm/56227226,20260812T162636,20260812T162636
23994943,Facebook Pixel Integration module for Perfex CRM - Smart Conversion Tracking,themesic,39.0,41,,,php-scripts,add-ons,PHP 7.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP",2026-05-04,https://codecanyon.net/item/facebook-pixel-module-for-perfex-crm/23994943,20260812T162636,20260812T162636
53691837,Warranty Management module for Perfex CRM,GreenTech_Solutions,79.0,41,5.0,4,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-26,https://codecanyon.net/item/warranty-management-module-for-perfex-crm/53691837,20260812T162636,20260812T162636
51719799,Glofex Admin/Employee Mobile APP for perfex,xessglobal,49.0,39,4.0,4,mobile,flutter,Flutter 3.x,,,"Dart, YAML, JavaScript JSON, .plist, .swift, PHP, HTML",2025-05-10,https://codecanyon.net/item/glofex-adminemployee-mobile-app-for-perfex/51719799,20260812T162636,20260812T162636
60590690,FlexiNote for Perfex CRM,polyxgo,34.0,39,5.0,3,php-scripts,add-ons,"PHP 8.x, MySQL 8.x",CodeIgniter,,"JavaScript JS, CSS, PHP",2026-05-05,https://codecanyon.net/item/flexinote-for-perfex-crm/60590690,20260812T162636,20260812T162636
53352209,Custom SMS Gateway module for Perfex CRM,themesic,49.0,38,4.67,3,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-09,https://codecanyon.net/item/custom-sms-gateway-module-for-perfex-crm/53352209,20260812T162636,20260812T162636
47407556,Perfex CRM Video Chat Add-on from LiveSmart,nicky75,10.0,36,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",,,"HTML, PHP, SQL",2025-10-02,https://codecanyon.net/item/perfex-crm-video-chat-addon-from-livesmart/47407556,20260812T162636,20260812T162636
54272663,Expense Subcategory Module For Perfex CRM,halilaltndg,29.0,35,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS",2025-09-27,https://codecanyon.net/item/expense-subcategory-module-for-perfex-crm/54272663,20260812T162636,20260812T162636
61820857,FlexSocial - Perfex AI Social Media Management and Marketing Module,flexibyte88,59.0,35,,,php-scripts,add-ons,"PHP 8.x, MySQL 5.x - 8.x",CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-03-03,https://codecanyon.net/item/flexsocial-perfex-ai-social-media-management-and-marketing-module/61820857,20260812T162636,20260812T162636
29084049,SAGE® Module for Perfex CRM,by8e,35.0,34,,,php-scripts,add-ons,PHP 5.6,CodeIgniter,,"JavaScript JS, HTML, CSS",2020-10-24,https://codecanyon.net/item/sage-module-for-perfex-crm/29084049,20260812T162636,20260812T162636
58739983,"2FA Authenticator Module for Perfex CRM – Compatible with Google, Microsoft, Authy & More",codeonstring,29.0,32,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP",2025-07-03,https://codecanyon.net/item/google-authenticator-2fa-module-for-perfex-crm/58739983,20260812T162636,20260812T162636
61372175,"FormSync – Automated Form to Lead, Customer & Ticket Sync for Perfex CRM",LiquidApps,39.0,31,,,php-scripts,add-ons,PHP 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP",2026-03-07,https://codecanyon.net/item/formsync-webflow-framer-integration-for-perfex-crm/61372175,20260812T162636,20260812T162636
54636335,WhatsBot REST API Module for Perfex CRM - Connect your WhatsBot with third party applications,corbitaltech,17.0,28,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,,"JavaScript JS, JavaScript JSON, CSS, PHP, SQL",2024-11-30,https://codecanyon.net/item/whatsbot-rest-api-module-for-perfex-crm-connect-your-whatsbot-with-third-party-applications/54636335,20260812T162636,20260812T162636
24695112,BitPay Payment Gateway Integration for Perfex CRM,themesic,49.0,27,,,php-scripts,add-ons,PHP 7.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP",2026-05-04,https://codecanyon.net/item/bitpay-payment-gateway-for-perfex-crm/24695112,20260812T162636,20260812T162636
