keyword,sort,results,unique_products,pages_crawled,zero_result,total_sales,top_sales,avg_sales,median_sales,avg_price,median_price
perfex integration,relevance,150,148,5,no,12738,1500,86.1,25.0,56.6,45.0
perfex automation,relevance,76,76,3,no,17237,3000,226.8,59.0,60.2,59.0
perfex mcp,relevance,2,2,1,no,31,27,15.5,15.5,101.5,101.5
