keyword,sort,results,unique_products,pages_crawled,zero_result,total_sales,top_sales,avg_sales,median_sales,avg_price,median_price
perfex crm,relevance,405,404,14,no,81503,25900,201.7,40.0,53.0,49.0
perfex integration,relevance,150,150,5,no,12797,1500,85.3,25.0,56.7,45.0
perfex api,relevance,46,45,2,no,10603,3000,235.6,34,51.2,49.0
perfex mcp,relevance,2,2,1,no,31,27,15.5,15.5,101.5,101.5
