keyword,parent_topic,source,approved,priority,total_results,unique_products,pages_crawled,zero_result
,,,no,,405,404,14,no
perfex integration,Perfex CRM,manual,yes,high,150,150,5,no
perfex api,Perfex CRM,manual,yes,high,46,45,2,no
perfex mcp,Perfex CRM,manual,yes,high,2,2,1,no
